tick,timestamp,preco,preco_previsto,acao,capital,patrimonio,retorno_pct,retorno_pred,energia,coerencia
20,2025-10-17 15:00:00+00:00,105163.42,109749.96470845358,-,10000.0,10000.0,0.0,0.021806740174855038,0.7587644291852702,0.19661455694387275
21,2025-10-17 16:00:00+00:00,106803.53,111236.86714391882,-,10000.0,10000.0,0.0,0.020754631621409142,0.6967995572735654,0.17444705471913766
22,2025-10-17 17:00:00+00:00,106372.34,110844.1217848662,-,10000.0,10000.0,0.0,0.021019458052818334,0.7569062610397073,0.15619527410703302
23,2025-10-17 18:00:00+00:00,106453.27,110749.97565829987,BUY,1000.0,10000.0,0.0,0.04036233064568485,0.9201870647459497,0.22781485973857257
24,2025-10-17 19:00:00+00:00,106647.11,110753.42778306731,-,1000.0,10016.388035802,0.1638803580199965,0.0385037947313544,0.9024023066886881,0.20648061896736236
25,2025-10-17 20:00:00+00:00,106454.72,110673.27535664706,-,1000.0,10000.122589000788,0.0012258900078813896,0.01981385445465316,0.7583960799416608,0.17952575546510768
26,2025-10-17 21:00:00+00:00,107021.37,111058.90792461162,-,1000.0,10048.029525067665,0.4802952506766451,0.018863245925637935,0.6982812712677379,0.1925072033097783
27,2025-10-17 22:00:00+00:00,107301.4,111153.37475991501,TAKE_PROFIT,10068.075738396763,10068.075738396763,0.6807573839676297,0.017949329545125462,0.69758084894681,0.1910769971703942
28,2025-10-17 23:00:00+00:00,107000.1,110892.41248453675,-,10068.075738396763,10068.075738396763,0.6807573839676297,0.018188351530503858,0.7473092540897096,0.10556467486362164
29,2025-10-18 00:00:00+00:00,106431.68,110366.34610727469,-,10068.075738396763,10068.075738396763,0.6807573839676297,0.018484470184664384,0.7506921216488457,0.13696347860602046
30,2025-10-18 01:00:00+00:00,106845.52,110608.33632933412,BUY,1006.8075738396765,10068.075738396763,0.6807573839676297,0.03521731908623393,0.8997231403741143,0.20684216631818803
31,2025-10-18 02:00:00+00:00,107149.3,110723.14640198326,-,1006.8075738396765,10093.838466146408,0.9383846614640787,0.016676962104345452,0.6972043591353465,0.18539914471000074
32,2025-10-18 03:00:00+00:00,106597.98,110220.6200746891,-,1006.8075738396765,10047.082566933379,0.47082566933378983,0.016992083850977596,0.7441253801156652,0.07382784183862515
33,2025-10-18 04:00:00+00:00,107070.4,110514.39849934043,-,1006.8075738396765,10087.147178966714,0.871471789667139,0.01608287683663936,0.6976510908944323,0.18695157666459725
34,2025-10-18 05:00:00+00:00,106478.71,109982.10266647731,-,1006.8075738396765,10036.967613550338,0.36967613550337775,0.016451137030733354,0.7442767013692009,0.07971584595097068
35,2025-10-18 06:00:00+00:00,106812.52,110147.38069442197,-,1006.8075738396765,10065.277101173318,0.6527710117331844,0.03122159415017761,0.8918642782423146,0.20088217880896067
36,2025-10-18 07:00:00+00:00,106839.96,110034.0464518537,-,1006.8075738396765,10067.604210428208,0.6760421042820781,0.01494799083753976,0.6974219299211755,0.08714247991904647
37,2025-10-18 08:00:00+00:00,106665.0,109997.13225886525,-,1006.8075738396765,10052.76634471263,0.527663447126306,0.01561961401990001,0.7449994286034508,0.06069650286383099
38,2025-10-18 09:00:00+00:00,106719.2,109872.3881838084,-,1006.8075738396765,10057.362894334168,0.5736289433416824,0.014773278690598362,0.6962421832067,0.1604616173437131
39,2025-10-18 10:00:00+00:00,106884.41,109868.32585617603,-,1006.8075738396765,10071.373889961,0.713738899609998,0.013958629284035637,0.6986471746704609,0.1920998289387751
40,2025-10-18 11:00:00+00:00,106924.47,109748.47459201925,-,1006.8075738396765,10074.771265935884,0.74771265935884,0.01320561081590248,0.6955944540220371,0.1589580821519298
41,2025-10-18 12:00:00+00:00,107208.6,109881.94206644253,-,1006.8075738396765,10098.867532429751,0.9886753242975101,0.012467938509504948,0.6991515139980758,0.19900030839120095
42,2025-10-18 13:00:00+00:00,107065.17,109925.13344276862,-,1006.8075738396765,10086.703637370392,0.8670363737039225,0.013356171375261313,0.743799733165317,0.058998080811643115
43,2025-10-18 14:00:00+00:00,106888.78,109886.92685603644,-,1006.8075738396765,10071.744497375134,0.717444973751335,0.014024603756235857,0.7453396792066285,0.0979233881573552
44,2025-10-18 15:00:00+00:00,107028.36,109864.29440354432,-,1006.8075738396765,10083.581884758423,0.8358188475842326,0.02649704288755767,0.8976569898377921,0.2005059618387891
45,2025-10-18 16:00:00+00:00,106948.75,109937.61598794379,-,1006.8075738396765,10076.830384474832,0.7683038447483159,0.013973356340975438,0.7460565939215495,0.10042856939789435
46,2025-10-18 17:00:00+00:00,106664.01,109942.96429356365,-,1006.8075738396765,10052.682385595926,0.5268238559592646,0.030740983283016936,1.0195069147294844,0.20989409178672683
47,2025-10-18 18:00:00+00:00,106880.03,110009.70042771162,-,1006.8075738396765,10071.002434474978,0.7100243447497815,0.029282075810691966,0.9033908187358876,0.23296988233504748
48,2025-10-18 19:00:00+00:00,106843.75,110080.66069354319,-,1006.8075738396765,10067.92562967296,0.6792562967295999,0.015147871043197113,0.7434743544763487,0.06199345839753621
49,2025-10-18 20:00:00+00:00,107080.14,110156.66394031984,-,1006.8075738396765,10087.973200983573,0.8797320098357341,0.028731035440959833,0.8935449221719838,0.20975547080591236
50,2025-10-18 21:00:00+00:00,107018.51,110208.4799146819,-,1006.8075738396765,10082.746533950818,0.8274653395081804,0.014903833773177066,0.7439141037708408,0.06751003798048628
