tick,timestamp,preco,preco_previsto,acao,capital,patrimonio,retorno_pct,retorno_pred,energia,coerencia
20,2025-10-17 15:00:00+00:00,105163.42,108035.54077300189,-,10000.0,10000.0,0.0,0.013655503248152975,0.7247594975746767,0.023363538592810824
21,2025-10-17 16:00:00+00:00,106803.53,109671.5730195416,-,10000.0,10000.0,0.0,0.013426717899562004,0.7173754384689044,0.11653117280107965
22,2025-10-17 17:00:00+00:00,106372.34,109223.77316051825,-,10000.0,10000.0,0.0,0.013403058116401856,0.7249752451850381,0.0570673839938522
23,2025-10-17 18:00:00+00:00,106453.27,109292.22580670702,-,10000.0,10000.0,0.0,0.013334265248657712,0.7241867472843736,0.08640682120764687
24,2025-10-17 19:00:00+00:00,106647.11,109460.43784256733,-,10000.0,10000.0,0.0,0.013189895553919398,0.7209871661786357,0.10705344196870802
25,2025-10-17 20:00:00+00:00,106454.72,109258.15892824419,-,10000.0,10000.0,0.0,0.013167289393849412,0.7244568794144501,0.05434958364582522
26,2025-10-17 21:00:00+00:00,107021.37,109791.66685434252,-,10000.0,10000.0,0.0,0.01294274096680613,0.716750878356542,0.11837153684594445
27,2025-10-17 22:00:00+00:00,107301.4,110021.70352738467,-,10000.0,10000.0,0.0,0.012676000171000481,0.7142359374316085,0.12655598022500386
28,2025-10-17 23:00:00+00:00,107000.1,109731.24291537018,-,10000.0,10000.0,0.0,0.012762330656643762,0.7297593479898082,0.05962125422734811
29,2025-10-18 00:00:00+00:00,106431.68,109162.05787110457,-,10000.0,10000.0,0.0,0.012826905445922571,0.7288172150913844,0.05904797455875665
30,2025-10-18 01:00:00+00:00,106845.52,109542.27649317998,-,10000.0,10000.0,0.0,0.012619869176163727,0.7170283483753985,0.11701722399598959
31,2025-10-18 02:00:00+00:00,107149.3,109791.90266076152,-,10000.0,10000.0,0.0,0.012331419163881141,0.7133312871220021,0.1428505523053235
32,2025-10-18 03:00:00+00:00,106597.98,109250.04140136442,-,10000.0,10000.0,0.0,0.012439564635213674,0.7302075587435388,0.057253613641033645
33,2025-10-18 04:00:00+00:00,107070.4,109673.95566084213,-,10000.0,10000.0,0.0,0.012158156041895605,0.7135016584100077,0.1450442172649282
34,2025-10-18 05:00:00+00:00,106478.71,109090.487317544,-,10000.0,10000.0,0.0,0.012264312542143023,0.7298898539594785,0.0593423215850537
35,2025-10-18 06:00:00+00:00,106812.52,109373.58410627837,-,10000.0,10000.0,0.0,0.01198857861586306,0.7129444941598693,0.13586160298960853
36,2025-10-18 07:00:00+00:00,106839.96,109423.92992832254,-,10000.0,10000.0,0.0,0.012092708421777355,0.7358656207602121,0.1649425091411712
37,2025-10-18 08:00:00+00:00,106665.0,109275.85017005313,-,10000.0,10000.0,0.0,0.012238551399489756,0.7313830564315984,0.045896717198579726
38,2025-10-18 09:00:00+00:00,106719.2,109286.9468076027,-,10000.0,10000.0,0.0,0.012030373200946373,0.7183843264171126,0.15934551603868533
39,2025-10-18 10:00:00+00:00,106884.41,109399.37854400965,-,10000.0,10000.0,0.0,0.01176491680239674,0.7139579403801721,0.1493452107144493
40,2025-10-18 11:00:00+00:00,106924.47,109404.5293216376,-,10000.0,10000.0,0.0,0.011597254588359154,0.7197674203169937,0.1640583697222215
41,2025-10-18 12:00:00+00:00,107208.6,109642.83356841975,-,10000.0,10000.0,0.0,0.011352783127670312,0.714144099465287,0.15102021864263715
42,2025-10-18 13:00:00+00:00,107065.17,109529.41793877968,-,10000.0,10000.0,0.0,0.011508159098911808,0.7305280242762227,0.051151697752487395
43,2025-10-18 14:00:00+00:00,106888.78,109375.9357067916,-,10000.0,10000.0,0.0,0.011634310110499084,0.7300703951340484,0.06247327292759975
44,2025-10-18 15:00:00+00:00,107028.36,109464.70817800511,-,10000.0,10000.0,0.0,0.011381790850725623,0.7138828466235201,0.14861135144877502
45,2025-10-18 16:00:00+00:00,106948.75,109410.82484424801,-,10000.0,10000.0,0.0,0.011510535860624947,0.7300204871154338,0.06266760064862216
46,2025-10-18 17:00:00+00:00,106664.01,109131.37941196327,-,10000.0,10000.0,0.0,0.011566092677675019,0.7259295687222519,0.05675416049937981
47,2025-10-18 18:00:00+00:00,106880.03,109319.4645730817,-,10000.0,10000.0,0.0,0.011412016325929437,0.7177833994910094,0.11768997372694441
