tick,timestamp,preco,preco_previsto,acao,capital,patrimonio,retorno_pct,retorno_pred,energia,coerencia
20,2025-10-17 15:00:00+00:00,105163.42,103540.0645896712,-,10000.0,10000.0,0.0,-0.015436520192908677,0.9978856080391184,0.2733257318950426
21,2025-10-17 16:00:00+00:00,106803.53,105168.45118539273,STOP_LOSS,10000.0,10000.0,0.0,-0.015309232246075978,0.998324030669586,0.2028502065327007
22,2025-10-17 17:00:00+00:00,106372.34,104688.76684923573,-,10000.0,10000.0,0.0,-0.0158272050930933,1.0329015326589963,0.24759140823870848
23,2025-10-17 18:00:00+00:00,106453.27,104698.7126398638,-,10000.0,10000.0,0.0,-0.016481980694246175,1.033674974692412,0.32570569847449465
24,2025-10-17 19:00:00+00:00,106647.11,104877.89572080743,-,10000.0,10000.0,0.0,-0.016589419671671952,1.0123121481688335,0.24057218902304817
25,2025-10-17 20:00:00+00:00,106454.72,104643.30226824604,-,10000.0,10000.0,0.0,-0.0170158401903059,1.0316399940344523,0.2485677828942939
26,2025-10-17 21:00:00+00:00,107021.37,105230.53365425793,STOP_LOSS,10000.0,10000.0,0.0,-0.008366710220140239,0.7478341185340849,0.19241531740927698
27,2025-10-17 22:00:00+00:00,107301.4,105551.95803040177,-,10000.0,10000.0,0.0,-0.008151992576859224,0.7441042517083596,0.17052274269657947
28,2025-10-17 23:00:00+00:00,107000.1,105203.21939014096,-,10000.0,10000.0,0.0,-0.016793275390579503,1.0380295834333222,0.22482205107096273
29,2025-10-18 00:00:00+00:00,106431.68,104594.70623756961,TAKE_PROFIT,10000.0,10000.0,0.0,-0.017259649150741886,1.0373648819920702,0.23264709382941673
30,2025-10-18 01:00:00+00:00,106845.52,105030.1254553194,-,10000.0,10000.0,0.0,-0.008495433050325851,0.7487519054200202,0.19584961366291082
31,2025-10-18 02:00:00+00:00,107149.3,105397.49013523111,-,10000.0,10000.0,0.0,-0.008174606790992491,0.7399108592052481,0.13907486099668287
32,2025-10-18 03:00:00+00:00,106597.98,104820.48842589682,-,10000.0,10000.0,0.0,-0.01667468927574821,1.0304173232658327,0.20991053433421303
33,2025-10-18 04:00:00+00:00,107070.4,105354.93343720856,-,10000.0,10000.0,0.0,-0.008010920970340821,0.7393571077789034,0.13576532193432259
34,2025-10-18 05:00:00+00:00,106478.71,104733.53702678316,-,10000.0,10000.0,0.0,-0.016389885784222184,1.0318520712059849,0.21420115044430554
35,2025-10-18 06:00:00+00:00,106812.52,105116.09151134605,-,10000.0,10000.0,0.0,-0.007941165846281063,0.7423842730200634,0.15748587551231483
