tick,timestamp,preco,preco_previsto,acao,capital,patrimonio,retorno_pct,retorno_pred,energia,coerencia
20,2025-10-17 15:00:00+00:00,105163.42,106202.65664832387,-,10000.0,10000.0,0.0,0.004941046776507208,0.7004285400536453,0.029553664900762396
21,2025-10-17 16:00:00+00:00,106803.53,107729.70634946188,-,10000.0,10000.0,0.0,0.004335882384328415,0.7107280006340974,0.09853573677753459
22,2025-10-17 17:00:00+00:00,106372.34,107475.8905307982,-,10000.0,10000.0,0.0,0.005187188426494554,0.73897910878143,0.1123993945496048
23,2025-10-17 18:00:00+00:00,106453.27,107414.34832632239,-,10000.0,10000.0,0.0,0.004514069214539696,0.7148556944919748,0.11572682576189659
24,2025-10-17 19:00:00+00:00,106647.11,107480.9571479967,-,10000.0,10000.0,0.0,0.00390937821889139,0.7114972270329922,0.09108218811823394
25,2025-10-17 20:00:00+00:00,106454.72,107411.35198564958,-,10000.0,10000.0,0.0,0.00449314622631318,0.7348155421409922,0.09686369865879767
26,2025-10-17 21:00:00+00:00,107021.37,107856.87002034752,-,10000.0,10000.0,0.0,0.0039034393542353,0.7113580583216823,0.10334074989847233
27,2025-10-17 22:00:00+00:00,107301.4,108014.15755210629,-,10000.0,10000.0,0.0,0.0033212946195732233,0.7137589611889875,0.1217497021247149
28,2025-10-17 23:00:00+00:00,107000.1,108343.78053274986,-,10000.0,10000.0,0.0,0.012557735465933247,1.0109845574733933,0.20506315684740334
29,2025-10-18 00:00:00+00:00,106431.68,108183.32569020326,-,10000.0,10000.0,0.0,0.008228969080664552,0.7505637192000851,0.1665770839767376
30,2025-10-18 01:00:00+00:00,106845.52,108438.68802418937,-,10000.0,10000.0,0.0,0.007455457820941378,0.7104176140373006,0.09352200958206412
31,2025-10-18 02:00:00+00:00,107149.3,108584.84415193975,-,10000.0,10000.0,0.0,0.006698817998845318,0.7152594745179868,0.15400833007742257
32,2025-10-18 03:00:00+00:00,106597.98,108664.05139163072,-,10000.0,10000.0,0.0,0.019381932901131074,1.020884336836537,0.2324127341529613
33,2025-10-18 04:00:00+00:00,107070.4,108959.51163317247,-,10000.0,10000.0,0.0,0.008821827616412588,0.7151243684011284,0.15294631884711893
34,2025-10-18 05:00:00+00:00,106478.71,108893.41603126729,-,10000.0,10000.0,0.0,0.022677820500519058,1.0191986306942857,0.22156661068761158
35,2025-10-18 06:00:00+00:00,106812.52,109030.40365191449,-,10000.0,10000.0,0.0,0.010382116923359896,0.713576163892987,0.12310906269559418
36,2025-10-18 07:00:00+00:00,106839.96,108861.71427876607,-,10000.0,10000.0,0.0,0.01892319431349058,0.9414608764664981,0.2330566705064886
37,2025-10-18 08:00:00+00:00,106665.0,109129.62176210467,BUY,1000.0,10000.0,0.0,0.02310619005395091,1.0135318879267823,0.2024840769208714
38,2025-10-18 09:00:00+00:00,106719.2,108985.2317313577,-,1000.0,10004.573196456195,0.04573196456194637,0.010616780017104782,0.7142570149861052,0.16625223785052842
39,2025-10-18 10:00:00+00:00,106884.41,108959.80901119414,-,1000.0,10018.51300801575,0.1851300801575053,0.009708632128899325,0.7148023936720445,0.15589583082032188
40,2025-10-18 11:00:00+00:00,106924.47,108820.34521884614,-,1000.0,10021.893123330052,0.21893123330051822,0.00886549398379004,0.7148012159271442,0.1741471926519748
41,2025-10-18 12:00:00+00:00,107208.6,108934.22449901889,-,1000.0,10045.866966671354,0.4586696667135402,0.008047968686136062,0.7150846908981623,0.16135251306763668
42,2025-10-18 13:00:00+00:00,107065.17,109373.78259534028,-,1000.0,10033.764871326113,0.33764871326113277,0.021562667671571327,1.0213221959182153,0.2332728549655956
43,2025-10-18 14:00:00+00:00,106888.78,109609.74143829696,-,1000.0,10018.88173252707,0.188817325270702,0.02545599413219005,1.0150961108005285,0.2038439152694789
44,2025-10-18 15:00:00+00:00,107028.36,109533.02064859708,-,1000.0,10030.658979046548,0.3065897904654776,0.01170092341984524,0.7148474103279907,0.146101076360767
45,2025-10-18 16:00:00+00:00,106948.75,109813.99745868883,-,1000.0,10023.941780340318,0.23941780340317564,0.013395422848274623,0.756601258186614,0.19563041450979632
46,2025-10-18 17:00:00+00:00,106664.01,109561.76193515984,-,1000.0,9999.916467444802,-0.0008353255519796221,0.013583561044104379,0.7373397961497953,0.08799265156655649
47,2025-10-18 18:00:00+00:00,106880.03,109559.74265394312,-,1000.0,10018.143439741245,0.1814343974124495,0.012536071390525188,0.7094638607383821,0.07961418875402794
48,2025-10-18 19:00:00+00:00,106843.75,109908.52938779091,-,1000.0,10015.08226691042,0.15082266910420003,0.028684685700295157,1.0203684474735202,0.2214812398990169
49,2025-10-18 20:00:00+00:00,107080.14,109912.88479007418,-,1000.0,10035.027984812263,0.3502798481226273,0.013227215375979923,0.7129691236291225,0.1125812405333944
50,2025-10-18 21:00:00+00:00,107018.51,110201.52954900837,-,1000.0,10029.827872310503,0.29827872310503156,0.029742722091445434,1.0192327880894083,0.2137819355323214
51,2025-10-18 22:00:00+00:00,107177.05,110128.0472079734,-,1000.0,10043.204893826465,0.43204893826465196,0.013766941798718912,0.7132812201001739,0.15647981522605156
52,2025-10-18 23:00:00+00:00,107125.87,110331.60023137197,-,1000.0,10038.886513851778,0.3888651385177764,0.014962460179020276,0.7554535837240417,0.18651465446052826
53,2025-10-19 00:00:00+00:00,107185.01,110143.11366842812,-,1000.0,10043.876529320769,0.4387652932076889,0.027598130711552295,0.9379130919781532,0.20178139364541492
54,2025-10-19 01:00:00+00:00,106898.03,110049.58433757587,-,1000.0,10019.662213472086,0.19662213472085568,0.014740931384439647,0.7519965311937863,0.1633928265009963
55,2025-10-19 02:00:00+00:00,106973.26,109881.38849364182,-,1000.0,10026.00984390381,0.2600984390381018,0.013592792912033747,0.71248846178232,0.09653168063474467
56,2025-10-19 03:00:00+00:00,106847.02,109953.53136581974,-,1000.0,10015.358177471522,0.15358177471522141,0.014537175806946448,0.7517067776390824,0.16181503600877015
57,2025-10-19 04:00:00+00:00,107275.78,110153.43879992992,-,1000.0,10051.53536774012,0.5153536774011991,0.013412428771894474,0.7143053703769451,0.14214281733376025
58,2025-10-19 05:00:00+00:00,107046.9,110217.1011412063,-,1000.0,10032.223315989311,0.3222331598931123,0.014807541133745343,0.7572685508921396,0.1957372785497171
59,2025-10-19 06:00:00+00:00,106888.59,110165.2173965717,-,1000.0,10018.865701026578,0.1886570102657788,0.015327283911299913,0.7473042797618139,0.12983555399850635
