tick,timestamp,preco,preco_previsto,acao,capital,patrimonio,retorno_pct,retorno_pred,energia,coerencia
20,2025-10-17 15:00:00+00:00,105163.42,107258.18660672751,-,10000.0,10000.0,0.0,0.01991913817921776,0.9532705846193296,0.23212445266214748
21,2025-10-17 16:00:00+00:00,106803.53,109832.5977857467,-,10000.0,10000.0,0.0,0.014180554239617785,0.7597042243231329,0.08406307943368482
22,2025-10-17 17:00:00+00:00,106372.34,109389.28114410251,BUY,1000.0,10000.0,0.0,0.028362046822932033,0.980180092337469,0.24822921087069605
23,2025-10-17 18:00:00+00:00,106453.27,110105.89098442838,-,1000.0,10006.847362763667,0.0684736276366675,0.017155966317338643,0.7612070904173547,0.1066046390296419
24,2025-10-17 19:00:00+00:00,106647.11,110754.85193966827,-,1000.0,10023.24786687968,0.2324786687967935,0.01925857432396189,0.7596797180312809,0.08333325022265188
25,2025-10-17 20:00:00+00:00,106454.72,110490.6742141171,-,1000.0,10006.970045032383,0.06970045032383496,0.03791241488876793,0.9694589112652392,0.20149331073546325
26,2025-10-17 21:00:00+00:00,107021.37,111412.24669891351,-,1000.0,10054.91342956261,0.5491342956260996,0.020514032042408648,0.7582224712668115,0.061296388682212447
27,2025-10-17 22:00:00+00:00,107301.4,111939.59432803975,TAKE_PROFIT,10074.97489441334,10074.97489441334,0.7497489441334074,0.02161293309351115,0.7574418996026568,0.050301473559757524
28,2025-10-17 23:00:00+00:00,107000.1,111536.57514704879,BUY,1007.4974894413335,10074.97489441334,0.7497489441334074,0.042396909145913,0.9712216169369614,0.20577783265560431
29,2025-10-18 00:00:00+00:00,106431.68,110859.68415499403,-,1007.4974894413335,10026.80544871624,0.2680544871624079,0.04160419604853872,0.9707348623835408,0.2026861849235267
30,2025-10-18 01:00:00+00:00,106845.52,111503.28202276256,-,1007.4974894413335,10061.875367802986,0.6187536780298615,0.02179669505754804,0.7579283607431705,0.05658420788355961
31,2025-10-18 02:00:00+00:00,107149.3,111964.20621414224,-,1007.4974894413335,10087.61850529615,0.8761850529615003,0.022468226481967935,0.756249702330075,0.03552193485646406
32,2025-10-18 03:00:00+00:00,106597.98,111283.74368122389,-,1007.4974894413335,10040.898159773957,0.40898159773956655,0.04395737395612342,0.9680373516548713,0.2034895106144807
33,2025-10-18 04:00:00+00:00,107070.4,111905.19753097415,-,1007.4974894413335,10080.93230624351,0.8093230624351053,0.022577664620797886,0.756146623029152,0.03438504545428434
