tick,timestamp,preco,preco_previsto,acao,capital,patrimonio,retorno_pct,retorno_pred,energia,coerencia
20,2025-10-17 15:00:00+00:00,105163.42,100411.28528562876,-,10000.0,10000.0,0.0,-0.022594056491523008,0.811295099659045,0.013634312499843598
21,2025-10-17 16:00:00+00:00,106803.53,102052.26534931302,-,10000.0,10000.0,0.0,-0.022243018770444295,0.7863907991845249,0.09692647676381874
22,2025-10-17 17:00:00+00:00,106372.34,101550.16690094961,-,10000.0,10000.0,0.0,-0.02266649713192198,0.8151788919406394,0.016897296398783616
23,2025-10-17 18:00:00+00:00,106453.27,101708.37538192225,-,10000.0,10000.0,0.0,-0.02228629473927613,0.8017965105506978,0.058548764045647766
24,2025-10-17 19:00:00+00:00,106647.11,101986.25156976275,-,10000.0,10000.0,0.0,-0.02185177747691413,0.794242979407258,0.08695358772318469
25,2025-10-17 20:00:00+00:00,106454.72,101703.19507848982,-,10000.0,10000.0,0.0,-0.022317111572427033,0.8147808989641331,0.01738203938110936
26,2025-10-17 21:00:00+00:00,107021.37,102315.17071899539,-,10000.0,10000.0,0.0,-0.021987181588978496,0.784721942208747,0.10149924728677853
27,2025-10-17 22:00:00+00:00,107301.4,102667.34702539342,-,10000.0,10000.0,0.0,-0.021593620770962236,0.7792473852875842,0.11104356492282282
28,2025-10-17 23:00:00+00:00,107000.1,102240.97995055602,-,10000.0,10000.0,0.0,-0.022238864928385657,0.8161997908898623,0.016792685674700797
29,2025-10-18 00:00:00+00:00,106431.68,101605.85837373952,-,10000.0,10000.0,0.0,-0.02267098164724,0.8159298470600919,0.015679066154592025
30,2025-10-18 01:00:00+00:00,106845.52,102073.00713179453,-,10000.0,10000.0,0.0,-0.02233372139590477,0.7860433058457336,0.0970131355120184
31,2025-10-18 02:00:00+00:00,107149.3,102485.48701570461,-,10000.0,10000.0,0.0,-0.02176313795477438,0.769042556657623,0.12296175084037661
32,2025-10-18 03:00:00+00:00,106597.98,101828.95031354403,-,10000.0,10000.0,0.0,-0.022369215639660003,0.8164446450043159,0.01962106577554467
33,2025-10-18 04:00:00+00:00,107070.4,102406.52059496616,-,10000.0,10000.0,0.0,-0.02177949232745354,0.7680927896056245,0.12452121415026465
34,2025-10-18 05:00:00+00:00,106478.71,101717.63827403652,-,10000.0,10000.0,0.0,-0.0223569229076134,0.8164257125106016,0.01923174104491023
35,2025-10-18 06:00:00+00:00,106812.52,102145.43928837347,-,10000.0,10000.0,0.0,-0.021847083089734383,0.7737479331679644,0.1156691088463125
36,2025-10-18 07:00:00+00:00,106839.96,102348.61490824918,-,10000.0,10000.0,0.0,-0.021019036275566453,0.7500746119790592,0.15835813463714893
37,2025-10-18 08:00:00+00:00,106665.0,102020.96959669815,-,10000.0,10000.0,0.0,-0.021769232659737747,0.815584363703278,0.033273791791911846
38,2025-10-18 09:00:00+00:00,106719.2,102220.53157395322,-,10000.0,10000.0,0.0,-0.02107714178570791,0.7593874629574813,0.1420793757255241
39,2025-10-18 10:00:00+00:00,106884.41,102500.08304111441,-,10000.0,10000.0,0.0,-0.020509648519872827,0.765140277255977,0.14024922640602955
40,2025-10-18 11:00:00+00:00,106924.47,102679.32298559537,-,10000.0,10000.0,0.0,-0.01985114265253076,0.7570121490563154,0.1543793921264689
41,2025-10-18 12:00:00+00:00,107208.6,103061.54459874732,-,10000.0,10000.0,0.0,-0.019341064538254647,0.7645081629549173,0.14969377875598477
42,2025-10-18 13:00:00+00:00,107065.17,102682.37902448542,-,10000.0,10000.0,0.0,-0.020467873790141353,0.8158693963090057,0.028988006964866156
43,2025-10-18 14:00:00+00:00,106888.78,102340.93789060508,-,10000.0,10000.0,0.0,-0.021273716971091955,0.8162438482287276,0.01991199268964607
44,2025-10-18 15:00:00+00:00,107028.36,102594.96552480156,-,10000.0,10000.0,0.0,-0.020711304350022632,0.7668261111442186,0.13580463988743716
45,2025-10-18 16:00:00+00:00,106948.75,102364.34274614237,-,10000.0,10000.0,0.0,-0.0214327294795761,0.816246455617467,0.019419847028166994
46,2025-10-18 17:00:00+00:00,106664.01,102006.33420063577,-,10000.0,10000.0,0.0,-0.02183338929122066,0.814892421465297,0.018770310381656274
47,2025-10-18 18:00:00+00:00,106880.03,102276.37855753959,-,10000.0,10000.0,0.0,-0.02153654260117187,0.7872809857421561,0.10255094165903939
48,2025-10-18 19:00:00+00:00,106843.75,102131.9602729424,-,10000.0,10000.0,0.0,-0.02204990805291655,0.8161882348003124,0.024034266797171598
49,2025-10-18 20:00:00+00:00,107080.14,102465.64742723895,-,10000.0,10000.0,0.0,-0.021546914165537178,0.774471273490564,0.1183533923690344
50,2025-10-18 21:00:00+00:00,107018.51,102301.02298615192,-,10000.0,10000.0,0.0,-0.02204050926692641,0.816297080880637,0.02243067458574465
51,2025-10-18 22:00:00+00:00,107177.05,102618.53654822076,-,10000.0,10000.0,0.0,-0.02126626203881045,0.756530699246459,0.14253739668083956
52,2025-10-18 23:00:00+00:00,107125.87,102455.59771875782,-,10000.0,10000.0,0.0,-0.021798047434089442,0.8153847663730212,0.034739784349060956
53,2025-10-19 00:00:00+00:00,107185.01,102700.12434075799,-,10000.0,10000.0,0.0,-0.020921225660530254,0.7487983770773292,0.15789323442223005
54,2025-10-19 01:00:00+00:00,106898.03,102307.27356416613,-,10000.0,10000.0,0.0,-0.021472601656702013,0.8159959387452227,0.01812122195696693
55,2025-10-19 02:00:00+00:00,106973.26,102462.34188367151,-,10000.0,10000.0,0.0,-0.021084315935928136,0.7805160305487293,0.11556383047761662
56,2025-10-19 03:00:00+00:00,106847.02,102236.54226545697,-,10000.0,10000.0,0.0,-0.02157515026490149,0.8159595087169244,0.017889996683900466
57,2025-10-19 04:00:00+00:00,107275.78,102777.39448226322,-,10000.0,10000.0,0.0,-0.020966460068249464,0.7662662835805102,0.13601340057394595
58,2025-10-19 05:00:00+00:00,107046.9,102441.67660927885,-,10000.0,10000.0,0.0,-0.021510300136859815,0.8162685369192074,0.020089113478101016
59,2025-10-19 06:00:00+00:00,106888.59,102217.45531522432,-,10000.0,10000.0,0.0,-0.021850499996757995,0.8156876838944662,0.017320062161285333
60,2025-10-19 07:00:00+00:00,106777.75,102099.39763940423,-,10000.0,10000.0,0.0,-0.02190696264247834,0.8130211199773978,0.01795232870242363
61,2025-10-19 08:00:00+00:00,106786.0,102252.40957815215,-,10000.0,10000.0,0.0,-0.021227456885021714,0.7687045078047542,0.04593593867947228
62,2025-10-19 09:00:00+00:00,106443.95,101928.01526949825,-,10000.0,10000.0,0.0,-0.0212127496345357,0.8103372974380301,0.01535984842431946
63,2025-10-19 10:00:00+00:00,107401.47,102995.95753234236,-,10000.0,10000.0,0.0,-0.020509548281469097,0.7591717525500681,0.15027208653769542
64,2025-10-19 11:00:00+00:00,107882.71,103633.89271400403,-,10000.0,10000.0,0.0,-0.01969184027066878,0.7491655808257085,0.16619980222843425
65,2025-10-19 12:00:00+00:00,107783.47,103576.32504927933,-,10000.0,10000.0,0.0,-0.019516646427844127,0.7941597835634066,0.07299842083772029
66,2025-10-19 13:00:00+00:00,107631.43,103269.82605982592,-,10000.0,10000.0,0.0,-0.02026175644204335,0.8128777963406274,0.06382646463535442
67,2025-10-19 14:00:00+00:00,108096.34,103894.92410170489,-,10000.0,10000.0,0.0,-0.01943368065256649,0.7478979275592748,0.16908397535712455
68,2025-10-19 15:00:00+00:00,108405.47,104359.6881553967,-,10000.0,10000.0,0.0,-0.018660408193674753,0.7480839717638494,0.1807855594389939
69,2025-10-19 16:00:00+00:00,108486.7,104580.37915298753,-,10000.0,10000.0,0.0,-0.018003699345124066,0.7537137198094174,0.166616866221771
70,2025-10-19 17:00:00+00:00,108624.19,104822.38561606659,-,10000.0,10000.0,0.0,-0.017499794343379622,0.7623490279308162,0.14581513807559907
71,2025-10-19 18:00:00+00:00,109113.52,105439.3269046156,-,10000.0,10000.0,0.0,-0.016836577250614455,0.7482355109133478,0.19499744849798367
